,3PAr,Age,DRB%,DRtg,Defense Four Factors,FT/FGA,FTr,L,MOV,ORB%,ORtg,Offense Four Factors,PL,PW,Pace,Rk,SOS,SRS,TOV%,TS%,Team,W,eFG%
54,27.8,-2.90,"16,291",.532,28,.234,13.9,-2.08,-3.1,76.6,.218,Sacramento Kings,108.8,105.7,.484,33,94.4,.331,"667,949",.251,49,0.82,Sleep Train Arena
49,27.2,-3.29,"17,330",.518,33,.199,13.0,-3.86,-3.5,75.8,.236,Cleveland Cavaliers,107.7,104.2,.479,32,93.1,.268,"710,522",.201,50,-0.57,Quicken Loans Arena
53,31.4,-3.66,"15,025",.514,29,.218,12.9,-4.13,-3.8,73.4,.222,Detroit Pistons,109.7,105.9,.482,31,94.9,.296,"616,005",.199,51,-0.48,The Palace of Auburn Hills
57,27.4,-4.46,"18,107",.517,25,.227,14.2,-4.97,-4.8,74.2,.251,Boston Celtics,107.7,102.9,.477,28,93.3,.248,"742,400",.193,54,-0.51,TD Garden
59,22.4,-5.44,"16,245",.525,23,.211,13.9,-5.88,-5.7,75.5,.235,Orlando Magic,107.4,101.7,.487,26,93.6,.253,"666,046",.193,56,-0.44,Amway Center
55,20.2,-6.29,"18,829",.542,27,.192,13.7,-5.33,-6.4,71.0,.291,Los Angeles Lakers,110.6,104.2,.505,25,98.7,.263,"771,974",.199,57,0.96,STAPLES Center
57,25.5,-7.17,"18,176",.523,25,.227,13.9,-6.27,-7.8,74.5,.237,Utah Jazz,111.3,103.5,.484,22,91.4,.271,"745,203",.202,60,0.91,EnergySolutions Arena
67,27.1,-8.18,"13,465",.519,15,.225,14.1,-8.41,-8.8,71.4,.231,Milwaukee Bucks,111.8,103.0,.479,20,91.8,.274,"552,067",.204,62,-0.23,BMO Harris Bradley Center
63,24.8,-10.45,"13,869",.510,19,.244,14.8,-10.66,-10.5,72.4,.258,Philadelphia 76ers,109.9,99.4,.475,16,99.2,.268,"568,632",.190,66,-0.21,Wells Fargo Center
15,24.1,10.10,"19,596",.571,67,.217,13.1,10.01,+10.2,74.5,.311,Golden State Warriors *,101.4,111.6,.540,65,98.3,.239,"803,436",.184,17,-0.09,Oracle Arena
26,22.8,6.59,"19,168",.565,56,.231,11.6,6.80,+6.9,75.7,.322,Los Angeles Clippers *,105.5,112.4,.533,58,94.7,.303,"785,892",.215,24,0.22,STAPLES Center
27,23.4,6.20,"18,606",.555,55,.190,13.1,6.34,+6.5,77.3,.269,San Antonio Spurs *,102.0,108.5,.517,58,93.8,.256,"762,855",.200,24,0.14,AT&T Center
22,21.4,5.43,"17,412",.563,60,.185,13.5,4.75,+5.8,73.4,.321,Atlanta Hawks *,103.1,108.9,.527,56,93.9,.259,"713,909",.201,26,-0.68,Philips Arena
29,26.8,4.48,"20,562",.557,53,.177,13.4,4.08,+4.8,74.7,.334,Cleveland Cavaliers *,106.3,111.1,.520,53,92.3,.287,"843,042",.216,29,-0.40,Quicken Loans Arena
31,24.2,4.23,"19,472",.544,51,.182,12.6,4.41,+4.5,76.2,.316,Portland Trail Blazers *,103.7,108.2,.508,53,94.2,.225,"798,368",.180,29,0.18,Moda Center
26,26.8,3.44,"18,230",.548,56,.208,15.0,3.82,+3.6,72.9,.392,Houston Rockets *,103.4,107.0,.512,50,96.5,.312,"747,412",.223,32,0.38,Toyota Center
27,24.7,3.24,"17,329",.531,55,.183,12.6,3.62,+3.5,75.3,.184,Memphis Grizzlies *,102.2,105.7,.489,50,92.0,.276,"710,502",.214,32,0.38,FedEx Forum
33,25.6,3.07,"19,752",.553,49,.208,12.0,2.45,+3.3,73.3,.302,Toronto Raptors *,107.7,111.0,.508,49,92.8,.295,"809,824",.232,33,-0.62,Air Canada Centre
32,27.0,3.00,"21,625",.536,50,.182,12.9,2.54,+3.2,74.4,.269,Chicago Bulls *,104.3,107.5,.489,50,92.8,.304,"886,612",.238,32,-0.46,United Center
32,23.6,2.90,"20,188",.550,50,.204,11.9,3.36,+3.1,72.2,.296,Dallas Mavericks *,106.4,109.5,.515,49,95.2,.262,"827,702",.197,33,0.46,American Airlines Center
37,28.9,2.18,"18,203",.532,45,.213,13.1,2.47,+2.3,75.6,.262,Oklahoma City Thunder,105.5,107.8,.492,47,95.7,.284,"746,323",.214,35,0.28,Chesapeake Energy Arena
37,27.1,0.79,"16,677",.537,45,.195,12.5,1.13,+0.9,75.1,.233,New Orleans Pelicans *,107.3,108.2,.501,43,91.4,.263,"683,757",.198,39,0.34,Smoothie King Center
36,24.9,0.72,"18,239",.534,46,.210,14.0,0.17,+0.7,77.3,.203,Washington Wizards *,103.0,103.7,.499,43,93.7,.259,"747,796",.192,39,-0.55,Verizon Center
41,25.4,0.43,"14,813",.536,41,.221,15.5,-0.09,+0.5,73.3,.223,Milwaukee Bucks *,102.2,102.7,.499,42,94.1,.258,"593,910",.195,40,-0.52,BMO Harris Bradley Center
44,24.0,0.28,"16,864",.523,38,.217,13.1,-0.23,+0.3,77.9,.255,Indiana Pacers,103.2,103.5,.484,42,93.2,.266,"691,434",.201,40,-0.51,Bankers Life Fieldhouse
44,29.1,0.22,"18,831",.531,38,.199,14.6,0.71,+0.2,76.3,.274,Utah Jazz,104.9,105.1,.494,42,90.4,.297,"772,059",.214,40,0.49,EnergySolutions Arena
42,24.7,0.16,"17,594",.523,40,.208,12.5,-0.40,+0.2,75.0,.280,Boston Celtics *,104.5,104.7,.489,41,95.8,.233,"721,350",.176,41,-0.56,TD Garden
43,24.5,-0.90,"16,923",.537,39,.221,13.7,-0.38,-0.9,73.5,.291,Phoenix Suns,106.2,105.3,.501,38,96.3,.251,"693,862",.191,44,0.52,US Airways Center
50,27.7,-1.00,"15,266",.515,32,.192,12.3,-1.39,-1.1,75.0,.290,Detroit Pistons,106.4,105.3,.482,38,92.8,.261,"625,917",.184,44,-0.39,The Palace of Auburn Hills
45,23.2,-2.60,"19,713",.540,37,.213,14.5,-2.92,-2.8,73.4,.262,Miami Heat,106.7,103.9,.500,33,90.9,.306,"808,223",.227,49,-0.32,AmericanAirlines Arena
44,23.9,-2.88,"17,037",.529,38,.185,13.0,-3.13,-3.0,73.7,.240,Brooklyn Nets *,107.4,104.4,.491,33,92.7,.267,"698,529",.200,49,-0.25,Barclays Center
49,22.1,-3.17,"17,192",.498,33,.188,11.2,-3.44,-3.4,79.3,.226,Charlotte Hornets,103.5,100.1,.456,32,93.0,.269,"704,886",.202,50,-0.27,Time Warner Cable Arena
52,26.6,-3.55,"14,700",.518,30,.239,12.7,-3.07,-3.7,74.7,.284,Denver Nuggets,108.2,104.5,.479,31,96.1,.278,"602,707",.204,51,0.48,Pepsi Center
53,26.5,-3.71,"16,587",.542,29,.200,14.8,-3.07,-3.9,75.2,.204,Sacramento Kings,109.2,105.3,.490,31,95.4,.363,"680,049",.276,51,0.64,Sleep Train Arena
57,23.1,-5.72,"16,785",.524,25,.210,14.0,-5.87,-6.1,76.0,.235,Orlando Magic,107.7,101.6,.494,25,93.8,.230,"688,194",.168,57,-0.15,Amway Center
61,25.4,-6.84,"18,738",.513,21,.231,12.1,-6.17,-7.2,76.3,.220,Los Angeles Lakers,110.6,103.4,.473,23,94.0,.276,"768,244",.204,59,0.67,STAPLES Center
66,26.6,-8.79,"14,416",.517,16,.187,13.7,-8.00,-9.3,71.6,.179,Minnesota Timberwolves,112.2,102.9,.468,19,94.4,.309,"595,652",.240,63,0.79,Target Center
64,25.5,-8.98,"13,941",.494,18,.225,16.0,-9.04,-9.3,73.0,.319,Philadelphia 76ers,104.8,95.5,.459,18,95.7,.288,"571,572",.195,64,-0.07,Wells Fargo Center
65,24.5,-9.32,"19,812",.508,17,.234,14.0,-9.50,-10.1,73.1,.240,New York Knicks,110.0,99.9,.470,17,91.2,.234,"812,292",.180,65,-0.18,Madison Square Garden (IV)
15,23.0,10.63,"18,450",.564,67,.182,12.4,10.28,+11.3,79.1,.223,San Antonio Spurs *,99.0,110.3,.526,67,93.8,.246,"756,445",.197,15,-0.36,AT&T Center
9,23.5,10.76,"19,596",.593,73,.208,13.5,10.38,+10.7,76.0,.362,Golden State Warriors *,103.8,114.5,.563,65,99.3,.250,"803,436",.191,17,-0.38,Oracle Arena
27,31.1,7.28,"18,203",.565,55,.205,14.0,7.09,+7.5,76.0,.275,Oklahoma City Thunder *,105.6,113.1,.524,59,96.7,.292,"746,323",.228,23,-0.19,Chesapeake Energy Arena
25,25.1,6.00,"20,562",.558,57,.205,12.7,5.45,+6.4,78.5,.352,Cleveland Cavaliers *,104.5,110.9,.524,57,93.3,.259,"843,042",.194,25,-0.55,Quicken Loans Arena
26,24.6,4.50,"19,826",.552,56,.201,12.3,4.08,+4.8,77.7,.287,Toronto Raptors *,105.2,110.0,.504,53,92.9,.328,"812,863",.255,29,-0.42,Air Canada Centre
29,20.1,4.28,"19,193",.556,53,.222,12.1,4.13,+4.5,73.8,.324,Los Angeles Clippers *,103.8,108.3,.524,53,95.8,.318,"786,910",.220,29,-0.15,STAPLES Center
34,19.1,3.61,"16,833",.552,48,.194,13.8,3.49,+3.7,74.6,.336,Atlanta Hawks *,101.4,105.1,.516,51,97.1,.237,"690,150",.185,31,-0.12,Philips Arena
34,25.1,3.21,"18,270",.531,48,.231,12.1,2.84,+3.2,74.6,.293,Boston Celtics *,103.6,106.8,.488,50,98.5,.264,"749,076",.208,32,-0.37,TD Garden
34,20.0,2.72,"17,485",.545,48,.191,11.7,2.36,+2.8,79.8,.348,Charlotte Hornets *,104.3,107.1,.502,49,95.7,.280,"716,894",.222,33,-0.36,Time Warner Cable Arena
42,25.9,1.79,"19,305",.540,40,.210,14.2,1.84,+2.0,77.7,.297,Utah Jazz,103.9,105.9,.501,46,91.0,.286,"791,489",.213,36,0.05,Vivint Smart Home Arena
34,23.8,1.65,"19,740",.545,48,.196,13.3,1.50,+1.7,77.8,.221,Miami Heat *,104.4,106.1,.508,46,93.6,.282,"809,350",.210,36,-0.14,AmericanAirlines Arena
37,23.4,1.71,"16,847",.536,45,.205,13.5,1.62,+1.7,76.0,.270,Indiana Pacers *,102.9,104.6,.497,46,96.6,.268,"690,733",.205,36,-0.09,Bankers Life Fieldhouse
38,25.9,0.83,"19,368",.548,44,.225,13.2,0.98,+0.8,76.2,.332,Portland Trail Blazers *,108.0,108.8,.511,43,96.0,.268,"794,085",.202,39,0.15,Moda Center
38,27.0,0.61,"16,516",.522,44,.196,12.2,0.43,+0.6,79.3,.303,Detroit Pistons *,105.5,106.1,.491,43,95.1,.296,"677,138",.197,39,-0.18,The Palace of Auburn Hills
41,25.7,0.20,"17,982",.553,41,.219,14.2,0.34,+0.2,72.8,.370,Houston Rockets *,108.1,108.3,.516,42,97.6,.352,"737,244",.244,40,0.14,Toyota Center
40,20.6,-0.30,"20,144",.544,42,.198,12.0,-0.02,-0.3,76.2,.339,Dallas Mavericks *,107.0,106.7,.502,40,94.3,.265,"825,901",.211,42,0.29,American Airlines Center
41,20.6,-0.50,"17,693",.544,41,.218,13.1,-0.50,-0.5,77.7,.282,Washington Wizards,105.8,105.3,.511,40,98.5,.263,"725,426",.192,42,0.00,Verizon Center
40,24.5,-1.48,"21,821",.526,42,.182,12.6,-1.46,-1.5,74.9,.244,Chicago Bulls,106.5,105.0,.487,37,95.7,.240,"894,659",.189,45,0.01,United Center
